Date,Open,High,Low,Close,5
1631232300,1.65,1.6707,1.5801,1.5813,820300
1631232600,1.5994,1.6257,1.585,1.6257,77822
1631232900,1.6199,1.6199,1.5988,1.6177,62501
1631233200,1.6169,1.6174,1.585,1.587,345898
1631233500,1.587,1.606,1.57,1.57,377322
1631233800,1.565,1.5992,1.5612,1.5975,163624
1631234100,1.5975,1.5975,1.5856,1.5904,41929
1631234400,1.57,1.5888,1.5483,1.5483,468692
1631234700,1.5483,1.5599,1.4989,1.4989,592436
1631235000,1.5,1.5392,1.5,1.5288,66372
1631235300,1.51,1.5199,1.5,1.5,899398
1631235600,1.5,1.5164,1.4926,1.4999,105253
1631235900,1.4999,1.5154,1.4968,1.5002,224725
1631236200,1.501,1.5145,1.501,1.5145,349523
1631236500,1.5145,1.5145,1.5082,1.5143,166780
1631236800,1.5106,1.5157,1.5106,1.5156,100201
1631237100,1.5155,1.5157,1.5017,1.51,232163
1631237400,1.5134,1.5134,1.5,1.5134,422941
1631237700,1.5023,1.5186,1.5023,1.5157,314719
1631238000,1.5157,1.5196,1.5,1.5119,541292
1631238300,1.5114,1.5144,1.4853,1.4899,325610
1631238600,1.4899,1.5,1.4884,1.5,147158
1631238900,1.4994,1.52,1.4994,1.5196,172654
1631239200,1.5196,1.5253,1.5186,1.5186,80007
1631239500,1.5165,1.52,1.51,1.52,163111
1631239800,1.52,1.5203,1.4903,1.51,446468
1631240100,1.5104,1.5196,1.51,1.5193,136477
1631240400,1.5188,1.5192,1.5107,1.5187,156698
1631240700,1.5187,1.5386,1.5187,1.53,241014
1631241000,1.5301,1.5349,1.53,1.5303,132714
1631241300,1.531,1.5351,1.5222,1.5351,102173
1631241600,1.539,1.5497,1.5377,1.5379,239840
1631241900,1.539,1.5501,1.5325,1.5501,172023
1631242200,1.555,1.565,1.5325,1.5325,360076
1631242500,1.5477,1.554,1.5103,1.516,270482
1631242800,1.516,1.5293,1.5134,1.5143,228963
1631243100,1.5147,1.5268,1.5141,1.526,92366
1631243400,1.52,1.5258,1.5076,1.5086,162144
1631243700,1.51,1.5195,1.5076,1.5104,136438
1631244000,1.5103,1.5189,1.5001,1.5154,286107
1631244300,1.5188,1.5189,1.5005,1.51,252552
1631244600,1.5103,1.525,1.5103,1.5219,276439
1631244900,1.526,1.5297,1.5151,1.5257,368341
1631245200,1.5159,1.5287,1.5031,1.51,300176
1631245500,1.51,1.51,1.4902,1.5,815712
1631245800,1.5014,1.5153,1.4905,1.505,184303
1631246100,1.5097,1.51,1.5021,1.505,624168
1631246400,1.51,1.51,1.5,1.5047,224865
1631246700,1.5047,1.5047,1.5,1.5,293152
1631247000,1.5,1.5,1.4914,1.497,221563
1631247300,1.4971,1.501,1.4971,1.5001,77632
1631247600,1.501,1.516,1.5001,1.516,140206
1631247900,1.516,1.516,1.5048,1.5145,70758
1631248200,1.5145,1.53,1.5145,1.5298,353938
1631248500,1.5298,1.5299,1.5146,1.5146,231345
1631248800,1.5146,1.5159,1.5018,1.5139,72681
1631249100,1.51,1.528,1.51,1.5259,79113
1631249400,1.515,1.5239,1.51,1.5111,64824
1631249700,1.519,1.5299,1.519,1.5292,431247
1631250000,1.5292,1.5292,1.515,1.516,86472
1631250300,1.527,1.527,1.5161,1.5259,188503
1631250600,1.5259,1.5259,1.515,1.52,113634
1631250900,1.5216,1.5258,1.5,1.5,684568
1631251200,1.5,1.52,1.4921,1.5199,328388
1631251500,1.5187,1.52,1.499,1.5,593660
1631251800,1.5,1.509,1.4951,1.505,422095
1631252100,1.5074,1.5077,1.5,1.5077,294087
1631252400,1.5012,1.5076,1.5,1.5045,222120
1631252700,1.5045,1.5045,1.5,1.5039,87635
1631253000,1.5039,1.5068,1.5001,1.5045,282488
1631253300,1.5004,1.5045,1.5004,1.5008,47041
1631253600,1.5008,1.5077,1.5008,1.5075,305219
1631253900,1.5075,1.5077,1.5075,1.5077,126931
1631254200,1.5077,1.51,1.5075,1.51,128583
1631254500,1.51,1.527,1.5094,1.5186,152244
1631254800,1.515,1.5187,1.5011,1.5087,283720
1631255100,1.5079,1.5182,1.5017,1.5179,125911
1631255400,1.51,1.5165,1.5022,1.5032,65273
1631255700,1.509,1.5151,1.5031,1.5148,240541
1631256000,1.5148,1.55,1.5101,1.5395,1175358
1631256300,1.531,1.5991,1.531,1.59,957732
1631256600,1.59,1.5985,1.5698,1.5699,1117525
1631256900,1.5699,1.65,1.5699,1.6303,2463622
1631257200,1.6401,1.67,1.6102,1.6356,2814396
1631257500,1.6356,1.6391,1.5862,1.5862,824616
1631257800,1.585,1.5995,1.58,1.59,1185779
1631258100,1.5898,1.63,1.5703,1.5781,1818409
1631258400,1.5705,1.58,1.5503,1.562,1359845
1631258700,1.5607,1.5607,1.5401,1.551,990405
1631259000,1.551,1.551,1.54,1.541,257749
1631259300,1.5332,1.554,1.5256,1.55,493918
1631259600,1.555,1.56,1.5392,1.56,425349
1631259900,1.56,1.59,1.5401,1.59,974210
1631260200,1.5805,1.62,1.57,1.58,1158461
1631260500,1.59,1.6,1.5701,1.5701,507066
1631260800,1.5865,1.6195,1.58,1.6,877894
1631261100,1.6,1.6498,1.5865,1.641,1318516
1631261400,1.6395,1.65,1.62,1.65,1951925
1631261700,1.645,1.648,1.6204,1.6255,815692
1631262000,1.6276,1.6276,1.5801,1.6027,996032
1631262300,1.6198,1.6198,1.5854,1.6105,709634
1631262600,1.6097,1.616,1.5709,1.571,1095841
1631262900,1.58,1.5899,1.56,1.5645,880256
1631263200,1.562,1.5645,1.55,1.5509,578004
1631263500,1.5515,1.59,1.5501,1.5899,478787
1631263800,1.58,1.6299,1.58,1.6299,1202582
1631264100,1.6201,1.6299,1.6,1.6079,590969
1631264400,1.6065,1.637,1.5905,1.6202,1479390
1631264700,1.627,1.6299,1.5703,1.5715,856048
1631265000,1.5705,1.5999,1.561,1.561,447767
1631265300,1.561,1.5868,1.561,1.5628,355500
1631265600,1.5689,1.5699,1.5628,1.5688,648337
1631265900,1.568,1.5697,1.568,1.568,230190
1631266200,1.565,1.5869,1.565,1.5869,194875
1631266500,1.5869,1.6126,1.5869,1.612,685324
1631266800,1.612,1.6123,1.59,1.5906,245996
1631267100,1.58,1.6099,1.5717,1.6001,445581
1631267400,1.6095,1.649,1.6001,1.6394,2443109
1631267700,1.63,1.6391,1.6007,1.6111,804005
1631268000,1.6298,1.6298,1.6012,1.6175,224696
1631268300,1.6169,1.645,1.6026,1.6395,1833298
1631268600,1.64,1.7187,1.64,1.69,4721721
1631268900,1.6899,1.7099,1.63,1.63,2335939
1631269200,1.6584,1.6782,1.6302,1.668,637518
1631269500,1.668,1.7083,1.65,1.7083,1735147
1631269800,1.7083,1.7198,1.6798,1.6798,2054242
1631270100,1.68,1.6895,1.65,1.6501,1539833
1631270400,1.66,1.661,1.6531,1.6554,522341
1631270700,1.66,1.665,1.6492,1.65,515762
1631271000,1.65,1.65,1.6371,1.638,498559
1631271300,1.638,1.65,1.638,1.64,152447
1631271600,1.6371,1.6555,1.63,1.648,377787
1631271900,1.6389,1.648,1.63,1.63,151210
1631272200,1.6301,1.6713,1.6262,1.67,527681
1631272500,1.6699,1.6749,1.6328,1.6328,358062
1631272800,1.6328,1.65,1.617,1.6288,1972301
1631273100,1.6288,1.629,1.6206,1.6233,458206
1631273400,1.6233,1.6233,1.6051,1.6232,691717
1631273700,1.6232,1.6329,1.6114,1.6114,877671
1631274000,1.6114,1.6251,1.6111,1.6251,348098
1631274300,1.6251,1.6251,1.61,1.61,305203
1631274600,1.6001,1.601,1.565,1.57,969827
1631274900,1.57,1.5997,1.5651,1.59,465878
1631275200,1.5984,1.6124,1.5803,1.6124,240267
1631275500,1.6,1.6184,1.5811,1.5901,623920
1631275800,1.5983,1.5983,1.585,1.59,180354
